Timer map              on rank  46 :    681 ms,     11 ms,      5 ms,     16 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  47 :    675 ms,     11 ms,      5 ms,     16 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  48 :    681 ms,     11 ms,      5 ms,     17 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  49 :    701 ms,     11 ms,      5 ms,     17 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  50 :    699 ms,     11 ms,      5 ms,     17 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  51 :    698 ms,     11 ms,      5 ms,     16 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  52 :    651 ms,     10 ms,      4 ms,     16 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  53 :    700 ms,     11 ms,      4 ms,     17 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  54 :    667 ms,     11 ms,      4 ms,     17 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  55 :    656 ms,     10 ms,      4 ms,     17 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  56 :    693 ms,     11 ms,      6 ms,     18 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  57 :    671 ms,     11 ms,      6 ms,     17 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  58 :    662 ms,     11 ms,      5 ms,     16 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  59 :    681 ms,     11 ms,      5 ms,     17 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  60 :    657 ms,     10 ms,      6 ms,     16 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  61 :    650 ms,     10 ms,      6 ms,     15 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  62 :    655 ms,     10 ms,      7 ms,     15 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  63 :    653 ms,     10 ms,      6 ms,     15 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  64 :    652 ms,     10 ms,      7 ms,     15 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  65 :    662 ms,     11 ms,      7 ms,     17 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  66 :    665 ms,     11 ms,      6 ms,     16 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  67 :    677 ms,     11 ms,      6 ms,     15 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  68 :    682 ms,     11 ms,      5 ms,     16 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  69 :    682 ms,     11 ms,      6 ms,     18 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  70 :    652 ms,     10 ms,      4 ms,     17 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  71 :    640 ms,     10 ms,      4 ms,     16 ms,  60 (total, mean, min, max, timings)
Timer mpi-send         on rank   0 :     91 ms,      8 ms,      5 ms,     20 ms,  11 (total, mean, min, max, timings)
Timer mpi-send         on rank   1 :     91 ms,      7 ms,      4 ms,     17 ms,  12 (total, mean, min, max, timings)
Timer mpi-send         on rank   2 :     85 ms,      7 ms,      3 ms,     16 ms,  12 (total, mean, min, max, timings)
Timer mpi-send         on rank   3 :     83 ms,      6 ms,      4 ms,     12 ms,  12 (total, mean, min, max, timings)
Timer mpi-send         on rank   4 :    103 ms,      8 ms,      6 ms,     19 ms,  12 (total, mean, min, max, timings)
Timer mpi-send         on rank   5 :     89 ms,      7 ms,      4 ms,     18 ms,  12 (total, mean, min, max, timings)
Timer mpi-send         on rank   6 :     92 ms,      7 ms,      4 ms,     18 ms,  12 (total, mean, min, max, timings)
Timer mpi-send         on rank   7 :     96 ms,      8 ms,      5 ms,     18 ms,  12 (total, mean, min, max, timings)
Timer mpi-send         on rank   8 :     92 ms,      7 ms,      4 ms,     17 ms,  12 (total, mean, min, max, timings)
Timer mpi-send         on rank   9 :    101 ms,      8 ms,      4 ms,     17 ms,  12 (total, mean, min, max, timings)
Timer mpi-send         on rank  10 :     98 ms,      8 ms,      4 ms,     18 ms,  12 (total, mean, min, max, timings)
Timer mpi-send         on rank  11 :    101 ms,      8 ms,      5 ms,     19 ms,  12 (total, mean, min, max, timings)
Timer mpi-send         on rank  12 :     91 ms,      7 ms,      4 ms,     18 ms,  12 (total, mean, min, max, timings)
Timer mpi-send         on rank  13 :     97 ms,      8 ms,      4 ms,     19 ms,  12 (total, mean, min, max, timings)
Timer mpi-send         on rank  14 :     93 ms,      7 ms,      4 ms,     19 ms,  12 (total, mean, min, max, timings)
Timer mpi-send         on rank  15 :     99 ms,      8 ms,      5 ms,     19 ms,  12 (total, mean, min, max, timings)
Timer mpi-send         on rank  16 :    105 ms,      8 ms,      5 ms,     19 ms,  12 (total, mean, min, max, timings)
Timer mpi-send         on rank  17 :    101 ms,      8 ms,      5 ms,     20 ms,  12 (total, mean, min, max, timings)
Timer mpi-send         on rank  18 :     96 ms,      8 ms,      4 ms,     17 ms,  12 (total, mean, min, max, timings)
Timer mpi-send         on rank  19 :    104 ms,      8 ms,      6 ms,     18 ms,  12 (total, mean, min, max, timings)
Timer mpi-send         on rank  20 :     95 ms,      7 ms,      4 ms,     18 ms,  12 (total, mean, min, max, timings)
